Old Value,New Value
 AP SEALS BLOCK LABEL,AP SEALS label
AP BLOCK LABEL,AP SEALS label
AP SEAL BLOCK LABEL,AP SEALS label
AP SEALS,AP SEALS label
AP SEALS BLOCK LABEL,AP SEALS label
AP SEALS Block Label,AP SEALS label
AP SEALS block label,AP SEALS label
AP SEALS BLOCK LABEL ,AP SEALS label
AP SEALS LABEL,AP SEALS label
AP SEALS LABEL ,AP SEALS label
AP SLIDE LABEL,AP SEALS label
Auckland Hospital,Auckland Hospital
Auckland Hospital Molecular Genetics Lab,Auckland Hospital
Block label,AP SEALS label
BLOCK RESERVED @ AP SEALS,AP SEALS label
Block text,Block label
Cancer Genetics Lab No.,Cancer Genetics Lab No.
Colchester Research Facility,Colchester Research Facility
Davies Campbell de Lambert,Davies Campbell de Lambert
Douglass Hanly Moir,Douglass Hanly Moir
Familial Cancer reference,Familial Cancer reference
Familial Cancer refernce,Familial Cancer reference
Genetic Services Sample Number,Genetic Services Sample Number
Genetic Technologies,Genetic Technologies
GF number,GF number
Hand written label ID,Hand written label ID
HAPS Lab No.,HAPS Lab No.
Hawaii Cancer Centre DNA ID,Hawaii Cancer Centre DNA ID
IMVS,IMVS Lab Number
IMVS Lab #,IMVS Lab Number
IMVS Lab#,IMVS Lab Number
Initial,Initial
Lab number,Lab number
Label on tube from Mt Sinai Ontario,Mt Sinai Ontario
Lamond and Finlayson,Lamond and Finlayson
Mayo Clinic Rochester,Mayo Clinic Rochester
PaLMS Lab No,PaLMS Lab No
Peter Mac Label,Peter Mac Label
Peter Mac Ref,Peter Mac Label
POW MRN,POWH MRN
POWH MRN,POWH MRN
QIMR Person_ID,QIMR Person_ID
QMIR Person_ID,QIMR Person_ID
S,SA Pathology
SA PAthology,SA Pathology
SA pathology,SA Pathology
SA Pathology,SA Pathology
SA Pathology/IMVS,SA Pathology/IMVS
SEAL Block Label,AP SEALS label
SEAL Block No,AP SEALS label
SEAL Block No.,AP SEALS label
SEALS,AP SEALS label
SEALS - POW,AP SEALS label
SEALS - ST GEORGE,SEALS - ST GEORGE
SEALS - WOLLONGONG,SEALS - WOLLONGONG
SEALS AP BLOCK LABEL,AP SEALS label
SEALS Barcode,AP SEALS label
SEALS Block,AP SEALS label
SEALS Block ,AP SEALS label
SEALS BLOCK LABEL,AP SEALS label
SEALS Block label,AP SEALS label
SEALS block label,AP SEALS label
SEALS Block Label,AP SEALS label
SEALS Block Label ,AP SEALS label
SEALS block label ,AP SEALS label
SEALS Block Lable,AP SEALS label
SEALS Block No.,AP SEALS label
SEALS BLOCK RESERVED,AP SEALS label
SEALS LABEL,AP SEALS label
SEALS Label,AP SEALS label
SEALS NO.,AP SEALS label
SEALS SECONDARY LABEL,SEALS secondary label
SEALS SECONDARY NUMBER,SEALS secondary label
SEALS Slice Label,AP SEALS label
SEALS Slide Labe,AP SEALS label
SEALS Slide Label,AP SEALS label
seals sLIDE lABEL,AP SEALS label
SEALS Slide label,AP SEALS label
SEALS Slide Label ,AP SEALS label
SEALS Slide Lable,AP SEALS label
SEALS Slide Lablel,AP SEALS label
SEALS Slide No.,AP SEALS label
SEALS Tissue Label,AP SEALS label
SEAS Block Label,AP SEALS label
SEASL Block Label,AP SEALS label
SEASL Slide Label,AP SEALS label
SEASLS Slide Label,AP SEALS label
Southeern Cross Pathology Lab ID,Southern Cross Pathology Lab ID
Southern IML,Southern IML
Staff (UNSW) number,UNSW staff number
SURREY MEMORIAL HOSPITAL No.,Surrey Memorial Hospital No.
Surrey Memornial Hospital No.,Surrey Memorial Hospital No.
Sutter Gen Hosp Path,Sutter Gen Hosp Path
SydPath,SydPath
Tube text,Tube text
TubeText,Tube text
Tubetext,Tube text
VCGS,VCGS lab number
VCGS Lab #,VCGS lab number
VCGS lab#,VCGS lab number
